[ 2024-10-25 16:04:25,882 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342496129 found"
[ 2024-10-25 16:04:25,885 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342496128 found"
[ 2024-10-25 16:04:27,882 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342496130 found"
[ 2024-10-25 16:04:27,886 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342496129 found"
[ 2024-10-25 16:04:27,890 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342496128 found"
[ 2024-10-25 16:04:28,456 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342496128 found"
[ 2024-10-25 16:04:29,949 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342496128 found"
[ 2024-10-25 16:04:31,455 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342496128 found"
[ 2024-10-25 16:04:31,898 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342496130 found"
[ 2024-10-25 16:04:31,901 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342496129 found"
[ 2024-10-25 16:04:31,903 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342496128 found"
[ 2024-10-25 16:04:32,955 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342496128 found"
[ 2024-10-25 16:04:33,916 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342496130 found"
[ 2024-10-25 16:04:33,920 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342496129 found"
[ 2024-10-25 16:04:33,923 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342496128 found"
[ 2024-10-25 16:04:34,450 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342496128 found"
[ 2024-10-25 16:04:35,933 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342496130 found"
[ 2024-10-25 16:04:35,936 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342496129 found"
[ 2024-10-25 16:04:35,938 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342496128 found"
[ 2024-10-25 16:04:35,953 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342496128 found"
[ 2024-10-25 16:04:37,449 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342496128 found"
[ 2024-10-25 16:04:37,949 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342496130 found"
[ 2024-10-25 16:04:37,952 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342496129 found"
[ 2024-10-25 16:04:37,954 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342496128 found"
[ 2024-10-25 16:04:37,957 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342496156 found"
[ 2024-10-25 16:04:38,952 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342496128 found"
[ 2024-10-25 16:04:40,448 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342496128 found"
[ 2024-10-25 16:04:41,974 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342496130 found"
[ 2024-10-25 16:04:41,978 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342496129 found"
